codConhecimento,numConhecimento,datemTipo.codigo,datemTipo.descricao,viaTransporte,canalParametrizacao.codigo,canalParametrizacao.descricao,datemSituacao.codigo,datemSituacao.descricao,datemParecer.codigo,datemParecer.descricao
182405094988422,BUSITJ755094,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405121730028,AMIGL240073132A,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405116736480,GZHITJ755449,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405096330904,XNBLU24000420,REGULAR,Carga regular,MARITIMA,VERMELHO,Canal Vermelho,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405117548776,GDM24030036,REGULAR,Carga regular,MARITIMA,VERMELHO,Canal Vermelho,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
172405117746325,HAM24030096,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405116908019,GZHNVT755021,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
172405097421175,GSSWOPY12464E,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
172405097420284,GSSWOPY12464D,REGULAR,Carga regular,MARITIMA,VERMELHO,Canal Vermelho,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
172405122137749,DEHAMSEHAM2400885,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405104925932,SHYY24030616,REGULAR,Carga regular,MARITIMA,VERMELHO,Canal Vermelho,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
172405117746678,HAM24030106,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405118994176,SRGNVT2403042,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405101710102,NBNAV24006543,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405119240809,MEDUK2796697,REGULAR,Carga regular,MARITIMA,VERMELHO,Canal Vermelho,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
172405096519791,GSSWOPY13131A,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405117510108,GDM24020140,REGULAR,Carga regular,MARITIMA,VERMELHO,Canal Vermelho,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
182405094834620,BUSITJ755093,REGULAR,Carga regular,MARITIMA,VERDE,Canal Verde,AGRD_DESEMBARACO,Aguardando desembaraço da mercadoria,DEFERIDA,Deferida
